Job Title,Company Name,Date,Location,Skills,Job Link,Salary,Job Requirements
Senior Python Developer,Trufla,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,https://wuzzuf.net/jobs/p/ONfRqVhgKtiC-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Full Stack Python Developer (Open Edx Developer),Dolf,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · MySQL · MongoDB · JavaScript · HTML5 · Computer Science,https://wuzzuf.net/jobs/p/iu3t3cJ97TTT-Full-Stack-Python-Developer-Open-Edx-Developer-Dolf-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Back-End Developer (Part-Time),Snuggs Egypt,1 month ago,"New Cairo, Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Back-End Developer · Computer Science · developer · Python · Software Development · Software Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/l2Q5ejbze43P-Python-Back-End-Developer-Part-Time-Snuggs-Egypt-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Developer,Andela,8 days ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeEntry Level · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python · Technical Support,https://wuzzuf.net/jobs/p/1cbcpOIsGn6f-Python-Developer-Andela-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Backend Developer,"Salney, Inc.",1 hour ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · developer · Engineering · Software Engineering · Computer Science · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/6PEE7W1NTlW5-Python-Backend-Developer-Salney-Inc-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Python Developer,SURE International Technology,2 hours ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Developer · Software Development · Computer Science · Python · Software Engineering · Git · HTML5 · CSS,https://wuzzuf.net/jobs/p/jITGU1cOLq2S-Senior-Python-Developer-SURE-International-Technology-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Flask Python Backend Developer.,Virtual Worker Now,22 hours ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · back-end · Flask · Python · Software Development · Computer Science · Web · Full-Stack,https://wuzzuf.net/jobs/p/1XOMELtShdah-Flask-Python-Backend-Developer-Virtual-Worker-Now-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Backend Developer (Python/Django),Valify,2 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · RESTful · Python · OOP · Information Technology (IT) · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/8dCtCCGcqsia-Senior-Backend-Developer-PythonDjango-Valify-Cairo-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Backend Developer (Python/Ruby),Nile University,2 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · back-end · Programming · Python · Ruby · Software Development · Computer Science · Information Technology (IT) · OWASP,https://wuzzuf.net/jobs/p/288nNuGDYeOx-Backend-Developer-PythonRuby-Nile-University-Giza-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Python Linux Engineer,ElSewedy Electrometer,3 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/AKDnfcob97rW-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Odoo Developer,TechCastle,6 days ago,"Cairo, Egypt ",Full TimePart TimeWork From HomeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Developer · Python Developer · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Python · Software,https://wuzzuf.net/jobs/p/Aea7PFSHgYNl-Odoo-Developer-TechCastle-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Odoo Implementer,Kick Start Interactive,1 month ago,"Giza, Egypt ",Part TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · ERP · Python · Odoo · CSS · Git · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/hdoE0CqarWU9-Odoo-Implementer-Kick-Start-Interactive-Giza-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
System Administrator,Dafater,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · System Administration · Linux · Azure · MySQL,https://wuzzuf.net/jobs/p/zOkFqizVxxMD-System-Administrator-Dafater-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Devops Engineer,Confidential,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Information Technology (IT) · Jenkins · Git · MongoDB · JSON · Computer Science · Software,https://wuzzuf.net/jobs/p/3kXNVPG60nwL-Devops-Engineer-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Azure Support Engineer,Alnafitha,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · AWS · Cloud · Computer Science · SQL · Information Technology (IT) · MDM · SCCM,https://wuzzuf.net/jobs/p/P064CAHPPewo-Azure-Support-Engineer-Alnafitha-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Full Time Faculty – Software Development,Zewail City,2 months ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Software Development · Information Technology (IT) · Computer Science · Engineering · Java · Scrum · Python,https://wuzzuf.net/jobs/p/CnQWUsvQpJNV-Full-Time-Faculty-–-Software-Development-Zewail-City-Giza-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Sr. Odoo Developer,Al Rabat,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · CSS · Java · Odoo · Python · JavaScript · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/qj8u73JHg2BV-Sr-Odoo-Developer-Al-Rabat-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior System & Network Admin,Cashcall,2 months ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · IT · Networking · Information Technology (IT) · System Administration · Maintenance · Python,https://wuzzuf.net/jobs/p/6HOdrBNpsHyZ-Senior-System-Network-Admin-Cashcall-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Software Project Manager,JBF Digital Marketing Agency,5 days ago,"Mohandessin, Giza, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Management · Project · Project Management · Communication skills,https://wuzzuf.net/jobs/p/fX90tr3Mm4Lk-Software-Project-Manager-JBF-Digital-Marketing-Agency-Giza-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
